Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
1,2,20.0,-3.0
2,3,30.0,-15.25
3,1,10.0,0
4,2,20.0,-28.0
5,0,0.0,0
6,4,40.0,-1.5
7,3,30.0,-3.5
8,4,40.0,-3.5999999999999996
9,0,0.0,0
10,0,0.0,0
11,0,0.0,0
12,0,0.0,0
13,0,0.0,0
14,0,0.0,0
15,2,20.0,-12.0
16,0,0.0,0
17,0,0.0,0
18,0,0.0,0
19,5,50.0,-1.2000000000000002
20,0,0.0,1
21,0,0.0,1
22,0,0.0,1
23,0,0.0,1
24,0,0.0,1
25,0,0.0,1
26,0,0.0,1
27,1,10.0,0
28,0,0.0,0
29,1,10.0,0
30,0,0.0,0
31,2,20.0,-9.0
32,0,0.0,0
33,1,10.0,0
34,0,0.0,0
35,1,10.0,0
36,1,10.0,0
37,1,10.0,0
38,0,0.0,0
39,0,0.0,0
40,0,0.0,0
41,0,0.0,0
42,1,10.0,0
43,4,40.0,-4.7
44,1,10.0,0
45,2,20.0,-17.0
46,2,20.0,-9.0
47,1,10.0,0
48,1,10.0,0
49,3,30.0,-20.0
50,2,20.0,-25.0
51,3,30.0,-5.5
52,2,20.0,-3.0
53,1,10.0,0
54,1,10.0,0
55,1,10.0,0
56,2,20.0,0.0
57,1,10.0,0
58,0,0.0,0
59,1,10.0,0
60,1,10.0,0
61,3,30.0,-19.25
62,3,30.0,-9.0
63,3,30.0,-8.0
64,3,30.0,-4.25
65,4,40.0,-5.0
66,2,20.0,-8.0
67,1,10.0,1
68,2,20.0,-1.0
69,1,10.0,0
70,0,0.0,0
71,0,0.0,0
72,2,20.0,-3.0
73,2,20.0,-4.0
74,0,0.0,0
75,3,30.0,-19.5
76,2,20.0,-25.0
77,0,0.0,0
78,2,20.0,-9.0
79,1,10.0,0
80,3,30.0,-2.5
81,3,30.0,-0.5
82,2,20.0,-63.0
83,0,0.0,0
84,1,10.0,0
85,3,30.0,-5.0
86,5,50.0,-1.35
87,2,20.0,-4.0
88,1,10.0,0
89,3,30.0,0.0
90,3,30.0,-4.25
91,4,40.0,-0.5
92,1,10.0,0
93,3,30.0,-0.5
94,3,30.0,0.75
95,1,10.0,0
96,2,20.0,0.0
97,2,20.0,-1.0
98,3,30.0,-3.5
99,0,0.0,0
100,0,0.0,0
Averages,1.43,14.3,-3.536
